Site ID,Parent Site ID,Site Name,Short Name,Type,Latitude,Longitude,Start_Date,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,geolocation
M094,M094,"Nth Brisbane Bikeway, Edinburgh Castle Rd, Wavell Heights","Nth Brisbane Bikeway, Edinburgh Castle Rd, Wavell Heights",Manual,-27.399421,153.043667,2019,,,,,,,,,,,,,,,,1,,1,1,1,1,,"-27.399421, 153.043667"
M095,M095,"Stanley St E, Coorparoo","Stanley St E, Coorparoo",Manual,-27.487898,153.051623,2019,,,,,,,,,,,,,,,,1,1,1,1,1,1,,"-27.487898, 153.051623"
M096,M096,"Fig Tree Pocket Rd_Akuna St, Kenmore","Fig Tree Pocket Rd_Akuna St, Kenmore",Manual,-27.515732,152.9521,2019,,,,,,,,,,,,,,,,1,1,1,1,,1,,"-27.515732, 152.9521"
M098,M098,"Aspen St Bikeway_Scrub Rd, Carindale","Aspen St Bikeway_Scrub Rd, Carindale",Manual,-27.532063,153.118404,2019,,,,,,,,,,,,,,,,1,,1,,,,1.0,"-27.532063, 153.118404"
M103,M103,"Beaudesert Rd_Mayfield Rd, Moorooka","Beaudesert Rd_Mayfield Rd, Moorooka",Manual,-27.532857,153.024875,2019,,,,,,,,,,,,,,,,1,,1,,,1,,"-27.532857, 153.024875"
M107,M107,"Wiles St_Stanley St, Camp Hill","Wiles St_Stanley St, Camp Hill",Manual,-27.486862,153.078563,2019,,,,,,,,,,,,,,,,1,,1,,,,,"-27.486862, 153.078563"
M108S,M108,"Logan Rd_Hanlon Park, Stones Corner","Logan Rd_Hanlon Park, Stones Corner",Manual,-27.498732,153.042718,2022,,,,,,,,,,,,,,,,,,,1,,,,"-27.498732, 153.042718"
M120,M120,"Indooroopilly Rd_Swann Rd, St Lucia","Indooroopilly Rd_Swann Rd, St Lucia",Manual,-27.49764,152.990399,2020,,,,,,,,,,,,,,,,,1,,1,1,1,1.0,"-27.49764, 152.990399"
M121,M121,"Carl St_O’Keefe St, Woolloongabba","Carl St_O’Keefe St, Woolloongabba",Manual,-27.49742056,153.0382366,2020,,,,,,,,,,,,,,,,,1,1,1,1,1,1.0,"-27.49742056, 153.0382366"
M127,M127,"Melbourne St_Merivale St, South Brisbane","Melbourne St_Merivale St, Sth Brisbane",Manual,-27.47501886,153.0164961,2021,,,,,,,,,,,,,,,,,,1,,,,,"-27.47501886, 153.0164961"
M129,M129,"Kitchener St_Cormack St, Sherwood","Kitchener St_Cormack St, Sherwood",Manual,-27.525496,152.978426,2021,,,,,,,,,,,,,,,,,,1,,1,,,"-27.525496, 152.978426"
M130,M130,"Gladstone Rd_TJ Doyle Memorial Dr, Dutton Park","Gladstone Rd_TJ Doyle Memorial Dr, Dutton Park",Manual,-27.495844,153.025484,2022,,,,,,,,,,,,,,,,,,,1,1,,1.0,"-27.495844, 153.025484"
