Date,Max_Temp,Min_Temp,Rainfall,Max_Wind,Sunshine_Duration
2022-12-11,27.0,18.9,0.0,15.6,47551.72
2022-12-12,29.6,18.1,0.3,24.1,37430.15
2022-12-13,29.1,20.6,1.1,16.9,46978.06
2022-12-14,32.5,18.9,0.2,16.3,47943.72
2022-12-15,28.1,16.5,0.1,19.8,47764.21
2022-12-16,25.8,17.0,2.0,15.4,48032.14
2022-12-17,25.0,17.1,0.9,18.9,46800.0
2022-12-18,25.3,15.7,0.3,20.2,47425.78
2022-12-19,25.6,15.5,0.0,22.5,48266.47
2022-12-20,27.9,14.2,0.0,25.9,48535.87
2022-12-21,26.1,14.6,0.0,18.4,48519.78
2022-12-22,26.9,16.1,0.0,17.7,46817.74
2022-12-23,30.0,18.3,0.6,19.4,43191.46
2022-12-24,27.0,19.9,12.5,10.0,1282.78
2022-12-25,27.8,19.1,13.3,14.5,41037.51
2022-12-26,27.0,19.1,1.6,20.2,48732.48
2022-12-27,26.4,18.5,1.9,21.4,49240.33
2022-12-28,26.5,17.8,2.5,16.3,48567.46
2022-12-29,27.5,17.0,0.1,20.2,36873.82
2022-12-30,27.2,20.6,3.8,19.2,20277.44
2022-12-31,28.0,19.3,0.6,17.6,46510.53
2023-01-01,27.8,18.7,1.0,17.0,47810.59
2023-01-02,27.4,17.8,1.9,15.8,49314.09
2023-01-03,30.6,17.6,0.0,18.7,49139.66
2023-01-04,31.3,18.8,11.2,18.1,43084.46
2023-01-05,27.3,21.1,10.6,11.3,0.0
2023-01-06,27.3,18.7,2.4,19.9,39512.42
2023-01-07,27.5,17.4,0.6,16.9,49151.69
2023-01-08,28.8,18.5,0.5,18.0,48875.38
2023-01-09,29.9,20.5,0.4,18.6,49071.5
2023-01-10,30.1,18.3,0.1,19.2,47869.55
2023-01-11,29.9,17.7,0.0,17.0,46536.98
2023-01-12,28.8,18.6,0.0,16.6,42929.39
2023-01-13,29.1,18.5,0.5,18.4,38117.38
2023-01-14,25.6,20.4,1.7,17.2,18838.24
2023-01-15,27.3,19.3,0.0,15.2,18049.44
2023-01-16,26.3,21.8,4.4,18.0,9434.88
2023-01-17,28.6,19.6,0.1,19.0,45796.81
2023-01-18,28.6,18.9,0.7,16.7,48620.4
2023-01-19,29.6,16.9,0.1,17.6,48562.21
2023-01-20,27.6,20.0,3.9,20.0,35362.95
2023-01-21,28.7,17.5,0.2,19.5,47385.73
2023-01-22,28.0,17.3,1.6,17.0,48374.96
2023-01-23,29.7,18.5,0.0,15.3,48308.65
2023-01-24,30.1,19.4,4.8,16.4,40141.7
2023-01-25,31.4,20.3,1.9,13.2,36734.67
2023-01-26,32.7,20.6,0.0,13.7,45647.51
2023-01-27,32.0,21.4,0.2,10.2,17915.56
2023-01-28,32.1,20.9,2.2,12.0,46304.21
2023-01-29,31.1,21.2,1.9,15.8,46605.28
2023-01-30,30.6,21.8,4.7,15.5,29958.51
2023-01-31,32.4,22.0,16.7,18.9,38563.73
2023-02-01,32.9,22.5,5.2,17.3,44514.95
2023-02-02,29.5,22.6,2.4,10.4,32939.02
2023-02-03,33.3,21.9,8.0,18.0,40470.1
2023-02-04,28.4,22.9,2.7,15.5,11672.24
2023-02-05,30.2,21.4,0.3,18.0,45461.52
2023-02-06,29.8,20.1,0.0,17.3,44955.28
2023-02-07,29.1,18.6,0.0,15.8,42570.06
2023-02-08,29.5,19.7,0.0,18.8,42428.22
2023-02-09,28.2,20.3,1.2,17.7,38983.28
2023-02-10,30.4,19.3,0.2,18.2,44295.37
2023-02-11,33.3,18.8,0.0,20.4,45404.3
2023-02-12,37.7,19.2,0.0,21.9,44907.85
2023-02-13,34.0,22.3,1.3,20.6,43881.08
2023-02-14,27.8,20.0,45.0,16.0,22340.32
2023-02-15,27.5,19.2,3.8,21.5,43237.55
2023-02-16,27.8,17.0,0.0,14.6,42457.99
2023-02-17,28.4,16.5,0.0,15.3,41891.88
2023-02-18,30.0,18.0,0.0,18.4,43827.28
2023-02-19,29.2,17.7,0.0,16.2,43490.16
2023-02-20,27.9,20.9,1.9,17.0,27366.76
